"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check error messages using dataProvider","571","Check error messages using dataProvider","Sauce Demo SmokeTest","Sat Dec 28 16:36:07 GMT 2024","passed","Sat Dec 28 16:36:08 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","testWithDataProvider"
"Refresh the Cart and check that added product is still present in Cart","858","Refresh the Cart and check that added product is still present in Cart","Sauce Demo SmokeTest","Sat Dec 28 16:36:06 GMT 2024","passed","Sat Dec 28 16:36:07 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkRefreshingCart"
"Check error messages using dataProvider","503","Check error messages using dataProvider","Sauce Demo SmokeTest","Sat Dec 28 16:36:05 GMT 2024","passed","Sat Dec 28 16:36:06 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","testWithDataProvider"
"Add 1 product to Cart and remove it","661","Add 1 product to Cart and remove it","Sauce Demo SmokeTest","Sat Dec 28 16:36:08 GMT 2024","passed","Sat Dec 28 16:36:08 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingOneProductToCartAndRemoving"
"Check error messages using dataProvider","592","Check error messages using dataProvider","Sauce Demo SmokeTest","Sat Dec 28 16:36:06 GMT 2024","passed","Sat Dec 28 16:36:07 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","testWithDataProvider"
"Return from 'Checkout' to Cart","935","Return from 'Checkout' to Cart","Sauce Demo SmokeTest","Sat Dec 28 16:36:05 GMT 2024","passed","Sat Dec 28 16:36:06 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkReturnToCartFromCheckoutPage"
"Return from Cart to 'Products' page via 'Continue Shopping' button","906","Return from Cart to 'Products' page via 'Continue Shopping' button","Sauce Demo SmokeTest","Sat Dec 28 16:36:02 GMT 2024","passed","Sat Dec 28 16:36:03 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkReturnToProductsPageFromCart"
"Login with empty password and check error message","562","Login with empty password and check error message","Sauce Demo SmokeTest","Sat Dec 28 16:36:03 GMT 2024","passed","Sat Dec 28 16:36:04 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyPassword"
"Proceed to Checkout via 'Checkout' button","843","Proceed to Checkout via 'Checkout' button","Sauce Demo SmokeTest","Sat Dec 28 16:36:04 GMT 2024","passed","Sat Dec 28 16:36:05 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkProceedToCheckoutFromCart"
"Add 1 product to Cart and navigate to Cart","1023","Add 1 product to Cart and navigate to Cart","Sauce Demo SmokeTest","Sat Dec 28 16:36:01 GMT 2024","passed","Sat Dec 28 16:36:02 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingOfOneProductToCart"
"Check descriptions of all products in Cart","823","Check descriptions of all products in Cart","Sauce Demo SmokeTest","Sat Dec 28 16:36:12 GMT 2024","passed","Sat Dec 28 16:36:13 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkDescriptionsOfAllProductsInCart"
"Login with not valid password and check error message","497","Login with not valid password and check error message","Sauce Demo SmokeTest","Sat Dec 28 16:36:04 GMT 2024","passed","Sat Dec 28 16:36:05 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkNotValidPassword"
"Check positive login with standard credentials","871","Check positive login for standard user","Sauce Demo SmokeTest","Sat Dec 28 16:36:01 GMT 2024","passed","Sat Dec 28 16:36:02 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Check elements of empty Cart","514","Check elements of empty Cart","Sauce Demo SmokeTest","Sat Dec 28 16:36:10 GMT 2024","passed","Sat Dec 28 16:36:10 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkElementsOfEmptyCart"
"Add 2 products to Cart and remove two products","699","Add 2 products to Cart and remove two products","Sauce Demo SmokeTest","Sat Dec 28 16:36:09 GMT 2024","passed","Sat Dec 28 16:36:10 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddingTwoProductsToCartAndRemovingBoth"
"Login with empty username and check error message","589","Login with empty username and check error message","Sauce Demo SmokeTest","Sat Dec 28 16:36:02 GMT 2024","passed","Sat Dec 28 16:36:03 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyUserName"
"Check prices of all products in Cart","836","Check prices of all products in Cart","Sauce Demo SmokeTest","Sat Dec 28 16:36:11 GMT 2024","passed","Sat Dec 28 16:36:12 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkPricesOfAllProductsInCart"
